peso,largo
242.0,23.2
290.0,24.0
340.0,23.9
363.0,26.3
430.0,26.5
450.0,26.8
500.0,26.8
390.0,27.6
450.0,27.6
500.0,28.5
475.0,28.4
500.0,28.7
500.0,29.1
340.0,29.5
600.0,29.4
600.0,29.4
700.0,30.4
700.0,30.4
610.0,30.9
650.0,31.0
575.0,31.3
685.0,31.4
620.0,31.5
680.0,31.8
700.0,31.9
725.0,31.8
720.0,32.0
714.0,32.7
850.0,32.8
1000.0,33.5
920.0,35.0
955.0,35.0
925.0,36.2
975.0,37.4
950.0,38.0
40.0,12.9
69.0,16.5
78.0,17.5
87.0,18.2
120.0,18.6
0.0,19.0
110.0,19.1
120.0,19.4
150.0,20.4
145.0,20.5
160.0,20.5
140.0,21.0
160.0,21.1
169.0,22.0
161.0,22.0
200.0,22.1
180.0,23.6
290.0,24.0
272.0,25.0
390.0,29.5
270.0,23.6
270.0,24.1
306.0,25.6
540.0,28.5
800.0,33.7
1000.0,37.3
55.0,13.5
60.0,14.3
90.0,16.3
120.0,17.5
150.0,18.4
140.0,19.0
170.0,19.0
145.0,19.8
200.0,21.2
273.0,23.0
300.0,24.0
5.9,7.5
32.0,12.5
40.0,13.8
51.5,15.0
70.0,15.7
100.0,16.2
78.0,16.8
80.0,17.2
85.0,17.8
85.0,18.2
110.0,19.0
115.0,19.0
125.0,19.0
130.0,19.3
120.0,20.0
120.0,20.0
130.0,20.0
135.0,20.0
110.0,20.0
130.0,20.5
150.0,20.5
145.0,20.7
150.0,21.0
170.0,21.5
225.0,22.0
145.0,22.0
188.0,22.6
180.0,23.0
197.0,23.5
218.0,25.0
300.0,25.2
260.0,25.4
265.0,25.4
250.0,25.4
250.0,25.9
300.0,26.9
320.0,27.8
514.0,30.5
556.0,32.0
840.0,32.5
685.0,34.0
700.0,34.0
700.0,34.5
690.0,34.6
900.0,36.5
650.0,36.5
820.0,36.6
850.0,36.9
900.0,37.0
1015.0,37.0
820.0,37.1
1100.0,39.0
1000.0,39.8
1100.0,40.1
1000.0,40.2
1000.0,41.1
200.0,30.0
300.0,31.7
300.0,32.7
300.0,34.8
430.0,35.5
345.0,36.0
456.0,40.0
510.0,40.0
540.0,40.1
500.0,42.0
567.0,43.2
770.0,44.8
950.0,48.3
1250.0,52.0
1600.0,56.0
1550.0,56.0
1650.0,59.0
6.7,9.3
7.5,10.0
7.0,10.1
9.7,10.4
9.8,10.7
8.7,10.8
10.0,11.3
9.9,11.3
9.8,11.4
12.2,11.5
13.4,11.7
12.2,12.1
19.7,13.2
19.9,13.8
